id,label,description,rights,meta.Agent,meta.Alt Text,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Cultural Context,meta.Material,meta.Measurements,meta.Rights,meta.Style Period,meta.Subject,meta.Technique,meta.Worktype
000151,Cézanne: The Card Players,"Painting of three working-class men playing cards at a small table, with a fourth looking on; a rack of cheap clay pipes hangs on the wall behind them",Public Domain,Paul Cézanne,Painting of four men playing cards,CE 1890-1892,"The Metropolitan Museum of Art, New York, NY, USA","Provence, France","Northern and Western European, French, Post-Impressionism",oil on canvas,65.4 x 81.9 cm,Public Domain,"19th Century CE, Post-Impressionism",card games,,Painting
000152,Cézanne: The Large Bathers,"More than a dozen nude people gather in front of two clusters of tree trunks that rise on either side.  Most of the people gaze toward the water in the background.  One leans up against a tree trunk. A woman in the center can be seen crouching to spread a blanket, helped by two others opposite.  Above the heads of the group, between the tree trunks, can be seen a body of water with a swimmer in it, and a bank opposite, where more people are standing.  A town is visible on the horizon, with a blue sky above.","Public Domain, CC 1.0",Paul Cézanne,Several nude women interact next to trees and a lake.,CE 1898,"Philadelphia Museum of Art, Philadelphia, PA USA","Aix-en-Provence, France","Northern and Western European, French, Post-Impressionism",oil on canvas,210.5 x 250.8 cm,"Public Domain, CC 1.0","19th Century CE, Post-Impressionism",bathers,,Painting
000153,Chacmool from Chichén Itzá ,"A half-reclining male figure carved in stone lies on his back with knees bent and feet on the floor. Seen from the side, he turns his head to face the viewer. He hold a flat dish on his belly with his hands, and his elbows support his torso in a half-seated posture. Seen from the side, he turns his head to face the viewer. A chest ornament carved in relief -- two bars and a pyramid shape -- hangs from his neck, and bracelets are carved into his wrists. He wears sandals and leggings, but is otherwise nude. A cylinder-shaped headpiece with carved pebble-shapes on it wraps around his head, and two rectangle shapes inscribed with hieroglyphs cover each ear. The eyes are almond-shaped with winged brows above them, and the irises are denoted with carved dots. The mouth is open, revealing teeth.  ",CC BY-SA 3.0 Ziko,Unknown,A half-reclining male figure carved in stone rests on his elbows with knees bent and feet on the floor. A flat dish is on his belly.,CE 800-900,"Museo Nacional Antropologico, Mexico City, Mexico","Chichén Itzá, Mexico","North American, Mexican, Mesoamerican, Mayan",stone,Height: 1.45 m,CC BY-SA 3.0 Ziko,9-10th Century CE,Maya,,Sculpture
000154,Chagall: The Cat Transformed into a Woman,"A woman with a feline head who is dressed in a blouse and a skirt leans on the table to her left, hands folded and looking at the viewer; the incline of the upper part of her body creates a strong diagonal that moves from the lower left to the upper right of the image.",ArtStor: National Gallery of Art (USA),Marc Chagall,A woman's body with a cat's head in a dress sits at a table.,CE 1928,"National Gallery of Art, Washington, DC, USA","Paris, France","Northern and Western European, French, Modernism",,,ArtStor: National Gallery of Art (USA),"20th Century CE, Modernism",,,Prints
000155,Chagall: The Dance and the Circus,"This is a brilliantly colored oil-on-canvas painting, with a vibrant yellow ground. Two larger figures dominate the scene, with smaller figures around them.  A bull-headed human dressed in circus clothing, with a red head and legs, plays a violin. A woman dressed in green whose long hair is blue extends her arm with a bouquet of flowers toward the violin-player. A smaller nude woman embraces a man’s head, who cradles her from behind.  A seated woman holding a painter's palette and brushes holds a purple chicken by the neck. Other small figures dance in a circle near the bottom of the canvas, with a hint of windowed buildings among them.  A bowl of fish can be seen behind the violin-player, and butterflies flutter around its head. Chagall’s signature appears near the bottom.",ArtStor: Réunion des Musées Nationaux (RMN),Marc Chagall,"Against a yellow backdrop, a woman offers flowers to bull-headed human who plays the violin.",CE 1950,"Musée National d'Art Moderne, Centre Georges Pompidou, Paris, France",France,"Northern and Western European, French, Modernism",oil on canvas,238 x 176 cm,ArtStor: Réunion des Musées Nationaux (RMN),"20th Century CE, Modernism",dancers,,Painting
000156,Chakalte' Relief with Enthroned Ruler,"Carved in relief on stone is a square scene showing three figures: on the right is a seated figure, facing the viewer. Traces of pigment show the decorated platform under him was painted in vivid red, turquoise, and yellow or white. Two standing figures on the left face the seated figure, offering tribute items in outstretched hands. All three figures are dressed in jewels, necklaces, bracelets, headdresses and robes. Hieroglyphs appear above the seated figure and the larger of the two standing figures. ",CC 1.0 Universal Public Domain,Chakalte',"A seated figure on a throne faces the viewer. Two standing figures on the left face the seated figure, offering tribute items in outstretched hands.",CE 770,"The Metropolitan Museum of Art, New York, NY, USA","La Pasadita, Guatemala","Central American, Guatemalan, Mesoamerican, Mayan","limestone, paint",88.9 x 87.6 x 7 cm,CC 1.0 Universal Public Domain,8th Century CE,"Maya, ruler",,Sculpture
000157,Chardin: Back from the Market,This oil on canvas painting depicts a servant returning back from the market. She is likely listening in on the conversation of the figure that is shown through the doorway.,Artstor: Department of Art History Digital Collections,Jean Baptiste Siméon Chardin,A woman puts bread on a table and holds a bag of groceries.,CE 1739,"Louvre Museum, Paris, France","Paris, France","Northern and Western European, French, Genre painting",oil on canvas,47 x 38 cm,Artstor: Department of Art History Digital Collections,18th Century CE,domestic worker,,Painting
000158,Chardin: Boy with a Spinning Top,This oil on canvas painting depicts a young boy playing with a spinning top at his desk. This is likely a portrait of Auguste-Gabriel Godefroy (1728-1814) the younger son of the jeweler Charles Godefroy.,Public Domain Wikimedia Commons,Jean Baptiste Siméon Chardin,A young boy stands at a desk and spins a top. On the desk sit books and a pen.,CE 1738,"Louvre Museum, Paris, France","Paris, France","Northern and Western European, French, Genre painting",oil on canvas,67 x 76 cm,Public Domain Wikimedia Commons,18th Century CE,child,,Painting
000159,Chardin: Self-Portrait with Spectacles,"A pastel on paper self-portrait done by the artist. Chardin portrays himself wearing spectacles, or eyeshades. His hair is wrapped in a scarf, and a pink patterned scarf is tied around his neck.",Public Domain Wikimedia Commons,Jean Baptiste Siméon Chardin,Man wears spectacles and looks at the viewer at a 3/4 angle.,CE 1771,"Louvre Museum, Paris, France","Paris, France","Northern and Western European, French, Genre painting",pastel on paper,46.4 x 37.7 cm,Public Domain Wikimedia Commons,18th Century CE,self portrait,,Drawings
000160,Chardin: Soap Bubbles,This oil on canvas painting depicts a boy blowing a bubble while a younger boy looks on. They are framed in the portrait through a rectangular stone windowsill.,Public Domain Metropolitan Museum of Art,Jean Baptiste Siméon Chardin,Two young boys blow a bubble out of a stone windowsill.,CE 1733-1734,"The Metropolitan Museum of Art, New York, NY, USA","Paris, France","Northern and Western European, French, Genre painting",oil on canvas,61 x 63.2 cm,Public Domain Metropolitan Museum of Art,18th Century CE,"bubbles, child",,Painting
000161,Chardin: The Young Schoolmistress,This oil on canvas portrait shows a young child being taught by an older girl. This is likely a private lesson despite the painting's title.,Public Domain Wikimedia Commons,Jean Baptiste Siméon Chardin,A young child sits at a table and an older girl teaches them.,CE 1736-1737,"The National Gallery, London, United Kingdom","Paris, France","Northern and Western European, French, Genre painting",oil on canvas,61.6 x 66.7 cm,Public Domain Wikimedia Commons,18th Century CE,"children, education",,Painting
000162,Chartres -- Central Bay,"The tympanum of the central portal on the west façade of Chartres Cathedral, shows a large figure of Christ with a nimbus enthroned in a mandorla; he is surrounded by the symbols of the four evangelists (clockwise from the upper left, the angel = Matthew; the eagle = John; the winged Ox = Luke; and the winged lion = Mark). Below Christ is a row of smaller figures in niches on the lintel (each shown full-length); similar figures are carved in the three archivolts around the tympanum. ",CC BY-SA 3.0 © Guillaume Piolle,Unknown,"The tympanum of the central portal on the west facade of Chartres Cathedral, showing a large figure of Christ.",CE 1194-1220,"Chartres, France","Chartres, France","Northern and Western European, French, Christendom, Gothic",limestone,"Length: 130 metres (430 ft)
Width: 32 metres (105 ft) / 46 metres (151 ft)
Nave: height 37 metres (121 ft); width 16.4 metres (54 ft)
Ground area: 10,875 square metres (117,060 sq ft)
Height of south-west tower: 105 metres (344 ft)
Height of north-west tower: 113 metres (371 ft)",CC BY-SA 3.0 © Guillaume Piolle,"12-13th Century CE, Gothic",Christianity,,Architecture
000163,Chartres -- South Portal Redeemed Souls,"Small sculptured figures stand  in niches of five nested archivolts; the figures represent redeemed souls at the last judgment. In the lower set of niches, souls are shown as naked infants being embraced by winged angels, some individually, some in groups; two of the infant souls wear crowns. The higher row of niches in the image shows clusters of souls, naked from the waist up, their hands clasped in prayer. They turn their heads toward the center tympanum.",CC BY-SA 3.0 photo TTaylor 2005,Unknown,"Small sculptured figures of redeemed souls at the Last Judgment, from Chartres Cathedral.",CE 1194-1220,"Chartres, France","Chartres, France","Northern and Western European, French, Christendom, Gothic",limestone,"Length: 130 metres (430 ft)
Width: 32 metres (105 ft) / 46 metres (151 ft)
Nave: height 37 metres (121 ft); width 16.4 metres (54 ft)
Ground area: 10,875 square metres (117,060 sq ft)
Height of south-west tower: 105 metres (344 ft)
Height of north-west tower: 113 metres (371 ft)",CC BY-SA 3.0 photo TTaylor 2005,"12-13th Century CE, Gothic",Christianity,,"Architecture, Sculpture"
000164,Chartres -- South Rose Window,"This large set of stained glass windows is in the predominant colors of red, blue, purple, green, yellow, and brown. Above a row of five lancet shaped windows showing the Virgin Mary (center) flanked by the Four Evangelists and prophets from the Hebrew Bible, there is a large circular window. At its center, in a round frame, is an image of Jesus making a gesture of blessing; concentric rows of round frames surround Jesus; the first shows angels and the Four Evangelists; the second and third show the Elders of the Apocalypse. Four-lobed decorative forms are interspersed between the second and third rows, and many circular embellishments accompany each of the roundels in which the images are inscribed.",CC BY-SA 3.0 Ludwig Schneider,Unknown,Large set of stained glass windows from Chartres Cathedral showing Biblical scenes and figures.,CE 1221-1300,"Chartres, France","Chartres, France","Northern and Western European, French, Christendom, Gothic",stained glass,"Length: 130 metres (430 ft) Width: 32 metres (105 ft) / 46 metres (151 ft) Nave: height 37 metres (121 ft); width 16.4 metres (54 ft) Ground area: 10,875 square metres (117,060 sq ft) Height of south-west tower: 105 metres (344 ft) Height of north-west tower: 113 metres (371 ft)",CC BY-SA 3.0 Ludwig Schneider,"13th Century CE, Gothic",Christianity,,Architecture
000165,Chartres -- View from Southeast,"A view of Chartres Cathedral from the southwest, showing how it rises above the structures around it. Flying buttresses can be seen supporting the walls of the choir (in the foreground); the middle of the image shows the apse, with a large rose window on its south façade; behind this, one sees the flying buttresses that support the nave, with the north and south towers in the upper and lower left of the image, respectively.",CC BY-SA 3.0 Olvr,Unknown,A view of Chartre Cathedral from the southwest; flying buttresses can be seen supporting the walls of the choir and nave.,CE 1194-1220,"Chartres, France","Chartres, France","Northern and Western European, French, Christendom, Gothic",limestone,"Length: 130 metres (430 ft) Width: 32 metres (105 ft) / 46 metres (151 ft) Nave: height 37 metres (121 ft); width 16.4 metres (54 ft) Ground area: 10,875 square metres (117,060 sq ft) Height of south-west tower: 105 metres (344 ft) Height of north-west tower: 113 metres (371 ft)",CC BY-SA 3.0 Olvr,"12-13th Century CE, Gothic",Christianity,,Architecture
000166,Chartres -- Window Notre Dame de la belle verrière,"Lancet-shaped stained glass window in the predominant colors of red, purple, blue, white and brown are separated into 22 square frames by black bars; the four top center frames show the Virgin Mary with Christ posed on her lap, looking straight at the viewer; the Holy Spirit in the shape of a dove hovers above them. Nine rectangular frames in rows of three on the bottom of the window show scenes from the life of Christ; a row of three frames showing angels is directly below the Virgin and Child, who are flanked by six frames showing angels.",Public Domain Eusebius (Guillaume Piolle),Unknown,Lancet-shaped stained glass window from Chartres Cathedral.,CE 1180,"Chartres, France","Chartres, France","Northern and Western European, French, Christendom, Gothic",stained glass,"Length: 130 metres (430 ft) Width: 32 metres (105 ft) / 46 metres (151 ft) Nave: height 37 metres (121 ft); width 16.4 metres (54 ft) Ground area: 10,875 square metres (117,060 sq ft) Height of south-west tower: 105 metres (344 ft) Height of north-west tower: 113 metres (371 ft)",Public Domain Eusebius (Guillaume Piolle),"12th Century CE, Gothic",Christianity,,Architecture
000167,Chauvet Cave Paintings,Drawings of lions on a cave wall. The drawings suggest the lions are running.,Public Domain,Unknown,Drawings of lions on a cave wall. The drawings suggest the lions are running.,BCE 35000,Southern France,Southern France,"Northern and Western European, French, Pre-historical, Paleolithic",charcoal,9 ha,Public Domain,Paleolithic,lions,,Painting
000168,Cheekpiece from a Horse Bit showing a crowned human figure gripping two griffins,"This bronze relief shows a human figure, crowned and bearded, facing the viewer, standing on two dead rabbits, and gripping the forelegs of two winged griffins on either side with his hands, who face the viewer with open, fanged mouths.",Public Domain,Unknown,"Bronze relief of a human figure, crowned and bearded, facing the viewer, standing on two dead rabbits.",BCE 800,Los Angeles County Museum of Art,Ancient Near East,"Middle Eastern, Mesopotamian, Luristan",bronze,15.24 x 22.07 x 2.54 cm,Public Domain,"9th Century BCE, Mesopotamian",Luristan bronze,,Metalwork
000169,Chhatrapati Shivaji Terminus Railway Station,"A large U-shaped building is festooned with dome, turrets, pointed arches, and ornaments.  A central tower topped with a dome and a clock are flanked on each side by colonnades and arched loggia.",CC BY-SA 3.0 Anunandusg,"Frederick William Stevens, Axel Haig","A large building decorated with columns, turrets, domes, and loggia features a clock tower.",CE 1888,"Mumbai, India","Mumbai, India","South Asian, Indian, Gothic Revival",sandstone,2.85 ha,CC BY-SA 3.0 Anunandusg,"19th Century CE, Gothic Revival","Gothic Revival, colonial",,Architecture
000170,Christ as the Good Shepherd,"A shepherd dressed in a tunic stands with a sheep draped across his shoulders. He grips the lamb’s forelegs and hind legs with each hand. He wears leggings and sandals, and a bag hangs from a belt draped across his right shoulder and chest. The youth tilts his head slightly to the left. The sheep, whose wool is carved in rosettes of symmetrical rows, has turned its head backward, looking at its tail.",CC BY-NC-SA 3.0  Richard Stracke ,Unknown,A shepherd dressed in a tunic stands with a sheep draped across his shoulders.,CE 300-350,"Musei Vaticani, Rome","Rome, Italy","Ancient Roman, Christian Roman, Imperial Roman, Late Antiquity",marble,0.91 m,CC BY-NC-SA 3.0  Richard Stracke ,"4th Century BCE, Late Antiquity","Christ, lamb",,Sculpture
000171,"Church of Our Lady Mary of Zion, rebuilt by Emperor Fasilides","A large rectangular building made of stone rests on a three-tiered pediment. Round-topped stone battlements line the roof. Three large arches span the short side of the building. Over the center arch rises a crown-shaped structure from the roofline. On the long side of the building are one tall square-topped doorway, two small arched doorways, and three arched windows. ",Free Art License 1.3 A.Savin ,Unknown,A large rectangular building made of stone shows round-topped stone battlements on the roofline. Three large arches span the short side of the building. ,CE 300-400,"Axum, Ethiopia	","Axum, Ethiopia	","East African, Ethiopian",,,Free Art License 1.3 A.Savin ,4th Century CE,Christianity,,Architecture
000172,Church of Sant Vicenç of Cardona,"The Church of Sant Vicenç of Cardona is on a hill, with a clear view of its general exterior design, including the apse.",CC BY-SA 3.0 Amadalvarez,Unknown,"The Church of Sant Vicenç of Cardona on a hill, with a clear view of its general exterior design, including the apse.",CE 1019-1040,"Cardona, Catalonia, Spain","Cardona, Catalonia, Spain","Southern European, Spanish, Christendom, Romanesque",cut stone,Height: over 19 m,CC BY-SA 3.0 Amadalvarez,"11th Century CE, Romanesque",Christianity,,Architecture
000173,"Church of St George, roof",This is a ground-level view of the roof of the Bete Gyrgios (Church of St. George) showing the cross pattern of the rock-hewn building and its symmetrical design. A cross is incised into the roof to bring out the pattern more clearly.,CC BY-SA 3.0 © UNESCO Author: Francesco Bandarin,Unknown ,Ground-level view of the roof of the Bete Gyrgios (Church of St. George) showing the cross pattern of the rock-hewn building.,CE 1100-1225,"Lalibela, Ethiopia","Lalibela, Ethiopia","East African, Ethiopian, Zagwe Dynasty",monolith,25 x 25 x 30 m,CC BY-SA 3.0 © UNESCO Author: Francesco Bandarin,"12-13th Century CE, Zagwe Dynasty",Ethiopian Christianity,rock-cut,Architecture
000174,"Church of St George, walls and base","This three story church is carved from solid rock, sunken into the ground so that its roof is parallel with the surrounding land. The church is built in the form of a cross with four equal-length arms, standing on a stone plinth. A stone staircase leads up to the main entrance, a rectangular portal inset between framing post and lintel forms; smaller rectangular portals appear on the other arms, with rectangular window-like niches on the walls. On the third story, each wall has one window set in an onion-like arch.",CC BY-SA 3.0 © UNESCO Author: Francesco Bandarin    ,Unknown ,"Rock-hewn church in the form of a cross, sunken into the ground so that its roof is parallel with the surrounding land.",CE 1100-1225,"Lalibela, Ethiopia","Lalibela, Ethiopia","East African, Ethiopian, Zagwe Dynasty",monolith,25 x 25 x 30 m,CC BY-SA 3.0 © UNESCO Author: Francesco Bandarin    ,"12-13th Century CE, Zagwe Dynasty",Ethiopian Christianity,rock-cut,Architecture
000175,Church: Heart of the Andes,"View of a mountain in the Andes, a waterfall in the right-center foreground; tiny human figures in the left foreground establish scale",Public Domain,Frederic Edwin Church,View of the Andes mountains,CE 1859,"The Metropolitan Museum of Art, New York, NY, USA","Andes Mountains, Ecuador","American, Hudson River School, Romanticism",oil on canvas,168 x 302.9 cm,Public Domain,"19th Century CE, Romanticism","Andes, landscape",,Painting
000176,"Church: Niagara Falls, from the American Side",This is a large-scale landscape painting representing Niagara Falls from the American side.,© Ad Meskens / Wikimedia Commons,Frederic Edwin Church,"A waterfall drapes down a mountainside, with a rainbow coming out of the mist.",CE 1867,"Scottish National Gallery, Edinburgh, Scotland, United Kingdom","New York, United States","American, Hudson River School, Romanticism",oil on canvas,257.50 x 227.30 cm,© Ad Meskens / Wikimedia Commons,"19th Century CE, Romanticism","Niagra Falls, landscape",,Painting
000177,Claude Lorrain: Harbour at Sunrise,"This oil painting is of an imagined Italian harbor; in the foreground are workers and small boats, while the background shows the sun rising over the sea, framed by larger ships, a medieval tower, and a classical Roman arch.",Public Domain,Claude Lorrain,"Oil painting of an imagined Italian harbor, showing workers and small boats, larger ships, a medieval tower, and a classical Roman arch.",CE 1637-1638,"Rijksmuseum, Amsterdam, Netherlands",Italy,"Southern European, Italian, Neoclassicism",oil on canvas,74 x 98 cm,Public Domain,"17th Century CE, Neoclassicism","harbor, cityscape",,Painting
000178,Claude Lorrain: Jacob with Laban and His Daughters,"This oil painting is of Jacob negotiating with Laban over his daughters, Leah and Rachel; they stand by a herd of sheep amid an Italian landscape that dwarfs them.",Public Domain,Claude Lorrain,Oil painting of Jacob negotiating with Laban over his daughters amid an Italian landscape.,CE 1676,"Dulwich Picture Gallery, London, UK",Italy,"Southern European, Italian, Neoclassicism",oil on canvas,72 x 94.5 cm,Public Domain,"17th Century CE, Neoclassicism","landscape, Christianity",,Painting
000179,Claude Lorrain: The Judgment of Paris,This oil painting shows a small cluster of figures in the foreground who represent the story of the Judgment of Paris; they stand in an extensive imaginary landscape modeled on the Italian countryside.,Public Domain,Claude Lorrain,"Oil painting showing the Judgment of Paris, set in an imaginary landscape modeled on the Italian countryside.",CE 1645-1646,"National Gallery, Washington DC, USA",Italy,"Southern European, Italian, Neoclassicism",oil on canvas,112 x 149.5 cm,Public Domain,"17th Century CE, Neoclassicism","landscape, Greek mythology",,Painting
000180,Claude Lorrian: View of La Crescenza,"This oil painting shows a castle in the distance, amid a landscape of the countryside surrounding Rome.",CC 1.0 Universal Public Domain,Claude Lorrain,"Oil painting showing a castle in the distance, amid a landscape of the countryside surrounding Rome",CE 1648-1650,"The Metropolitan Museum of Art, New York, NY, USA","Lazio Region, Italy","Southern European, Italian, Neoclassicism",oil on canvas,15 x 23 cm,CC 1.0 Universal Public Domain,"17th Century CE, Neoclassicism","lanscape, castle",,Painting
000181,Cleomenes: Aphrodite (Medici Venus),"This carved stone statue of a female nude with wavy hair tied in a loose bun stands in a contrapposto pose, sheliding her breasts and pubis with her arms and hands as she looks toward her left. On the ground next to her left foot is a dolphin with a nude winged child on its back.  ","Artstor 2006, SCALA, Florence/ART RESOURCE, N.Y.",Cleomenes,Statue of a female figure using her arms to cover her breast and lower body with puti and fish figures at her feet.,BCE 100-1,"Galleria degli Uffizi, Florence, Italy","Rome, Italy","Ancient Greek, Hellenistic","Parian marble, lychnite variant",1.53 m,"Artstor 2006, SCALA, Florence/ART RESOURCE, N.Y.","1st Century BCE, Hellenistic","Venus, Aphrodite",,Sculpture
000182,Cliff Palace Mesa Verde Ancient Puebloan,Three towers linked by rock walls and supported by tiered rooms below are built under an overhanging south-facing cliff that shelters from the sky the ruins of this Ancient Puebloan city.,CC BY-SA 3.0  Greg Tally,Unknown,Three towers are linked by rock walls and supported by tiered rooms below. Above looms an overhanging cliff that shields the city from rain.,CE 1190-1260,"Mesa Verde, CO, USA","Mesa Verde, CO, USA","Native North American, Ancestral Puebloan","sandstone, mortar and wooden beams","Tallest tower is 7.9 m, reconstructed height",CC BY-SA 3.0  Greg Tally,12-13th Century CE,Ancestral Puebloan,,Architecture
000183,Close: Self-Portrait,"This work uses a somber palette of grays and browns to fill in a grid of squares with organic shapes resembling lozenges, donuts, and hot dogs. Together the shapes form a recognizable, head–and–shoulders portrait of the artist.","ArtStor: University of California, San Diego",Chuck Close,A face made up of grey and black grids of circles looks at the viewer.,CE 1991,"MoMA (Museum of Modern Art), New York City","New York, NY, United States","American, Postmodernism",oil on canvas,254 x 213.4 cm,"ArtStor: University of California, San Diego","20th Century CE, Postmodernism",self portrait,,Painting
000184,Coatlicue,"A statue with a monstrous face with fangs at the top, a skull against spider-shaped hands in the middle, and writhing snakes covering the skirt/legs at the bottom.  The suggestions of a throne and a seated figure imply royalty or a deity.",CC BY-SA 3.0 Luidger,Unknown,"A monster sits on a throne, with writhing snakes below.",CE 1500,"National Museum of Anthropology, Mexico City, Mexico","Tenochtitlan, Mexico City, Mexico","North American, Mexican, Mesoamerican, Aztec",basalt,257 cm high,CC BY-SA 3.0 Luidger,16th Century CE,Aztec,,Sculpture
000185,Codex Borgia page 28,"On a square sheet of velum, four rectangular quadrants are drawn, with a fifth in the center of the page. Each quadrant contains drawn and painted illustrations of a male hovering above a female. Each female wears an elaborate headdress but is otherwise naked. Each male is positioned in profile, with an open fanged mouth and a headdress identifying the deity he represents. All five male-female couples appear amid maize, an important Mesoamerican plant. Below each compartment are three rectangles each containing a glyph that identifies the date. ","© Foundation for the Advancement of Mesoamerican Studies, Inc. ",Unknown,Four boxed figures surround a central boxed figure. All five boxes show a male hovering above a female in an elaborate headdress. ,CE 1490,"Vatican Library, Vatican City","Mexico City, Mexico ","North American, Mexican, Mesoamerican, Aztec",gessoed deerskin,"Folded into 39 sheets. Each sheet is 27 x 27 cm, for a total length of nearly 11 m.","© Foundation for the Advancement of Mesoamerican Studies, Inc. ",15th Century CE,Aztec,painted,Manuscript
000186,Codex Mendoza - The Founding of Tenochtitlán,"A rectangular page shows 51 square blue Aztec hieroglyphs framing the edges of the page. Two illustrated boxes appear inside the frame. The top box shows an eagle with wings outspread clutching a flowering cactus in its talons, bisected by an X-shape that shows in its four quadrants 10 human heads and torsos, each one labeled and shown in profile, along with plants and buildings. In the bottom box four warriors battle with spears and shields, while two small buildings appear on the right, one of them burning. ",Public Domain. Bodleian Library,Francisco Gualpuyogualcal (disputed) ,"On a square manuscript page, an eagle stands on a cactus growing in a lake. A box painted around it shows many seated figures in profile. ",CE 1529-53,"Bodleian Library, Oxford, UK","Mexico City, Mexico ","North American, Mexican, Mesoamerican, Aztec",Spanish paper,20.6 x 30.6 cm (each folio),Public Domain. Bodleian Library,16th Century CE,Aztec,,Manuscript
000187,Cole: Imaginary Scene from The Last of the Mohicans: Cora Kneeling at the Feet of Tamenund,"View of a rugged landscape in the Hudson River Valley, with tiny human figures enacting a scene from James Fenimore Cooper's novel The Last of the Mohicans to show scale.",Public Domain,Thomas Cole,View of a rugged landscape in the Hudson River Valley,CE 1827,Wadsworth Atheneum Museum of Art,"Catskill, New York, USA","American, Hudson River School, Romanticism",oil on canvas,64.5 x 89.1 cm,Public Domain,"19th Century CE, Romanticism","Mohican, landscape",,Painting
000188,Colossal Statue of King Aspelta,The granite gneiss statue is over 10 ft tall and wears royal kilt and headdress. The king is in the striding position with one leg forward. Arms are held rigidly by the side. A long inscription runs down the back.,"ArtStor Museum of Fine Arts, Boston, Collection",Unknown,"A larger-than-life stone male figure wears a royal kilt and headdress, with one leg forward.",BCE 593–568 ,"Museum of Fine Arts, Boston, USA","Sudan (Nubia), Gebel Barkal","African, Nubian",granite gneiss,Height: 332.1 cm; Height of Base: 22 cm,"ArtStor Museum of Fine Arts, Boston, Collection",6th Century BCE,Aspelta,,Sculpture
000189,Colosseum (Flavian Amphitheater) Barrel Vault,Barrel Vault forming a corridor in the Roman Colosseum.,"CC BY 2.0 Generic, Bengt Nyman   ",Unknown,Barrel Vault forming a corridor in the Roman Colosseum.,CE 72-80,"Rome, Italy","Rome, Italy","Ancient Roman, Imperial Roman","stone, concrete, and tuff",Oval: 189 x 156 cm. Height: 48 cm,"CC BY 2.0 Generic, Bengt Nyman   ","1st Century CE, Imperial Roman",Imperial Rome,,Architecture
000190,Colosseum (Flavian Amphitheater) Exterior,"View of the exterior of the Colosseum, showing the most intact section of the structure; the top tier is missing around most of the rest of the building",CC BY-SA 2.0 Jerzy Strzelecki,Unknown,Repeated arches span a rounded wall.,CE 72-80,"Rome, Italy","Rome, Italy","Ancient Roman, Imperial Roman","stone, concrete, and tuff",Oval: 189 x 156 cm. Height: 48 cm,CC BY-SA 2.0 Jerzy Strzelecki,"1st Century CE, Imperial Roman",Imperial Rome,,Architecture
000191,Colosseum (Flavian Amphitheater) Interior,"View of the interior of the Colosseum in Rome, showing the spectator seats and the central performance area.","CC BY-NC-SA 4.0 International, Kimberlym21 ",Unknown,Spectator seats ring a central performance area.,CE 72-80,"Rome, Italy","Rome, Italy","Ancient Roman, Imperial Roman","stone, concrete, and tuff",Oval: 189 x 156 cm. Height: 48 cm,"CC BY-NC-SA 4.0 International, Kimberlym21 ","1st Century CE, Imperial Roman",Imperial Rome,,Architecture
000192,Constable: Mary Freer,"This is an oil-on-canvas portrait of a young person with dark brown hair and rosy cheeks; her whitish skin and white short-sleeved dress are offset by the dark background.  The red of the coat and the golden hues of her hat, both held in her lap, complement the other hues. She looks directly at the viewer, and her expression is serious, perhaps tinged with melancholy.",Public Domain,John Constable,"A portrait of a brown-haired girl in a white dress, who holds a red coat and a gold hat in her lap.",CE 1809,"Yale Center for British Art, New Haven, CT, USA","London, England","Northern and Western European, British, Romanticism",oil on canvas,76.2 x 63.5 cm,Public Domain,"19th Century CE, Romanticism",portrait,,Painting
000193,Constable: Somerset House Terrace from Waterloo Bridge,"Constable uses oil on canvas to illustrate a long ornate building on the left of the canvas at a strong diagonal, bringing the eye to the blurry cathedral dome that rises above the background cityscape and to the grey arched bridge that bisects the right side of the canvas. In the foreground, dots and lines of color represent boats on the greenish-grey water, and a blue-grey sky creates a heavy, chill effect.",Public Domain,John Constable,A building near a harbor with boats in it.  A cathedral and a blue sky are in the background.,CE 1819,"Yale Center for British Art, New Haven, CT, USA","London, England","Northern and Western European, British, Romanticism",oil on panel,15.6 x 18.7 cm,Public Domain,"19th Century CE, Romanticism","riverbank, cityscape",,Painting
000194,Constable: The Hay Wain,"In the foreground, a small black and white dog looks at three horses who have stopped pulling their cart in a river that winds into the middle ground field and background row of trees; on the left is a cottage, and the blue and white of the sky dominates on the right side of the canvas.",Public Domain,John Constable,A team of horses pulls a wagon through a stream next to a house and a hayfield.,CE 1821,"National Gallery, London","London, England","Northern and Western European, British, Romanticism",oil on canvas,130 cm x 185 cm,Public Domain,"19th Century CE, Romanticism",landscape,,Painting
000195,Copán Ballcourt,"An aerial view of a T-shaped grassy playing field flanked by three masonry structures. The two long sides of the playing field, forming the stem of the T, are flanked by two walls with horizontal, vertical, and sloping surfaces. Across the top of the T-shaped playing field is a tiered structure that could have been used for audience seating. On top of all three structures are temple-shaped ruined structures.",CC BY-SA 2.0 Original image by Adalberto Hernandez Vega,Unknown,"An aerial view of a T-shaped grassy playing field flanked by three masonry structures. Walls flank both sides of the long axis, while across the top are ruins of stadium seating. ",CE 738,"Copán, Honduras","Copán, Honduras","Central American, Honduran, Mesoamerican, Mayan",stone,28.3 m long,CC BY-SA 2.0 Original image by Adalberto Hernandez Vega,8th Century CE,ball court,,Architecture
